Raga,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16
Shree Nabhomārgini,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Shyāmali,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Subhāshini,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0
Valaji,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Veenadhāri,1,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0
Vegavāhini,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0
Sūryakāntam,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Chāyāvathi,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1
Bhairavam,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Haridarpa,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Jayasamvardhani,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Jeevantikā,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Kusumamāruta,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Nāgachooḍāmani,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0
Rohini,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1
Sāmakannada,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1
Sowrāshtram,1,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1
Suddha Gowla,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
Supradeepam,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1
Vasanthā,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
Hātakāmbari,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Jayashuddhamālavi,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1
Hamsanantini,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Kallola,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
Simhala,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1
Jhankāradhvani,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
Jhankārabhramari,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
Bhārati,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0
Chittaranjani,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0
Jalmika,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0
Lalitabhairavi,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Natabhairavi,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Nārērētigowla,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
Abheri ,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Anandabhairavi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0
Amrithavāhini,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0
Bhairavi,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Bhuvanagāndhāri,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Chapagantarva,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Darbāri Kānada,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Devakriya,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Dhanashree,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
Dharmaprakāshini,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
Dilipika Vasantha,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Divyagāndhāri,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Gopikāvasantam,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Hindolam,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Hindolavasanta,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Indughantarava,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Jayanthashrī,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Jingaḷa,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Kātyāyani,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0
Kanakavasantham,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Kshanika,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
Mānji,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Mahati ,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
Malkosh / Malkauns,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
mArgahindOLaM,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0
Nāgagāndhāri,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Navarathna Vilāsam,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0
Nīlamati,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0
Nīlaveni,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Poornashađjam,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
Rājarājeshwari,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0
Sāramati,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
